ID,Name,Address,URL
miggebettina,Bettina Migge,University College Dublin,http://www.ucd.ie/research/people/appliedlanguagecentre/drbettinamigge/
mousmaarten,Maarten Mous,Leiden University,http://www.hum.leiden.edu/lucl/organisation/members-m-z/mousmpgm.html
mufwenesalikokos,Salikoko S. Mufwene,University of Chicago,http://humanities.uchicago.edu/faculty/mufwene/
muhleisensusanne,Susanne Mühleisen,University of Bayreuth,http://www.english-linguistics.uni-bayreuth.de/en/team/Muehleisen_Susanne/index.html
muhlhauslerpeter,Peter Mühlhäusler,University of Adelaide,http://www.adelaide.edu.au/directory/peter.muhlhausler
muyskenpieter,Pieter Muysken,Radboud University Nijmegen,http://www.ru.nl/onderzoek/kennisbank/profiel/toon_profiel?rbsid=102191
neumannholzschuhingrid,Ingrid Neumann-Holzschuh,University of Regensburg,http://www.uni-regensburg.de/sprache-literatur-kultur/romanistik/sprachwissenschaft/neumann-holzschuh/index.html
paauwscott,Scott Paauw,University of Rochester,http://ling.rochester.edu/people/faculty/paauw_scott/index.html
perekhvalskayaelena,Elena Perekhvalskaya,"Institute for Linguistic Studies RAS, St Petersburg",
petrollinosara,Sara Petrollino,Leiden University,http://www.ddl.ish-lyon.cnrs.fr/annuaires/Index.asp?Langue=EN&Page=Sara%20PETROLLINO
pfanderstefan,Stefan Pfänder,University of Freiburg,http://www.romanistik.uni-freiburg.de/pfaender/
plagingo,Ingo Plag,University of Düsseldorf,http://www.phil-fak.uni-duesseldorf.de/anglistik3/plag/
postmarike,Marike Post,University of Amsterdam,
prescodpaula,Paula Prescod,"Université Jules Verne à Amiens & CNRS-LLACAN, Paris",http://www.fcvnet.net/~paula/SVG.html
quintnicolas,Nicolas Quint,"CNRS-LLACAN, Paris",http://llacan.vjf.cnrs.fr/p_quint.php
revismelanie,Melanie Revis,Victoria University of Wellington,http://www.victoria.ac.nz/lals/research/research-students/melanie-halpap
robertssarahj,Sarah J. Roberts,Stanford University,
rosaliemarcel,Marcel Rosalie,"Seychelles Ministry of Arts, Sports and Culture",http://www.virtualseychelles.sc/gover/mlgys.htm
samarinwilliamj,William J. Samarin,University of Toronto,
schroderanne,Anne Schröder,Bielefeld University,http://www.uni-bielefeld.de/lili/personen/aschroeder/kontakt.html
schultzeberndteva,Eva Schultze-Berndt,University of Manchester,http://www.manchester.ac.uk/research/Eva.schultze-berndt/
schweglerarmin,Armin Schwegler,"University of California, Irvine",http://www.faculty.uci.edu/profile.cfm?faculty_id=2476
siegeljeff,Jeff Siegel,University of New England (Australia),http://www.une.edu.au/staff/jsiegel.php
sippolaeeva,Eeva Sippola,Aarhus University,http://pure.au.dk/portal/en/persons/eeva-sippola%28166d8f53-803b-4a3c-aa23-e727b1e26616%29.html
slomansonpeter,Peter Slomanson,Radboud University Nijmegen,http://www.ru.nl/irishstudies/members/peter-slomanson/
smithgeoffp,Geoff P. Smith,University of Hong Kong,http://caes.hku.hk/home/staff/gpssmith
smithianr,Ian R. Smith,Cornell University,http://people.laps.yorku.ca/people.nsf/researcherprofile?readform&shortname=iansmith
smithnorvalsh,Norval S.H. Smith,University of Amsterdam,http://home.medewerker.uva.nl/n.s.h.smith/
steinkrugerpatricko,Patrick O. Steinkrüger,University of Frankfurt am Main,
surekclarkclarissa,Clarissa Surek-Clark,University of Washington,http://portugueselinguist.com/
swolkiendominika,Dominika Swolkien,University of Mindelo (Cape Verde),http://www.uc.
thompsondahlia,Dahlia Thompson,University of the West Indies,http://ca.linkedin.com/in/dahliathompson
vandenbergmargotc,Margot C. van den Berg,Radboud University Nijmegen,http://home.hum.uva.nl/oz/vandenbergm/
vandervoorthein,Hein van der Voort,"Museu Paraense Emílio Goeldi, Belém",http://hvdvoort.blogspot.de/
vansluijsrobbert,Robbert van Sluijs,Radboud University Nijmegen,http://www.ru.nl/linc/people/who-we/#RobbertvanSluijs
veenstratonjes,Tonjes Veenstra,"Centre for General Linguistics (ZAS), Berlin",http://www.zas.gwz-berlin.de/mitarbeiter_veenstra.html
velupillaiviveka,Viveka Velupillai,University of Giessen,http://www.lalitha.de/velupillai/
winforddonald,Donald Winford,Ohio State University,http://www.ling.ohio-state.edu/~dwinford/
yakpokofi,Kofi Yakpo,University of Hong Kong,http://www.der-linguist.de/
