pk,jsondata,id,name,description,markup_description,parameter_pk,number,abbr,version
580,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",131-1,Exists (as a major allophone),,,132,1,,1
581,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",131-2,Exists only as a minor allophone,,,132,2,,1
582,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",131-3,Exists only in loanwords,,,132,3,,1
584,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",132-1,Exists (as a major allophone),,,133,1,,1
656,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",150-1,Exists (as a major allophone),,,151,1,,1
585,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",132-2,Exists only as a minor allophone,,,133,2,,1
586,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",132-3,Exists only in loanwords,,,133,3,,1
587,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",132-4,Does not exist,,,133,4,,1
588,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",133-1,Exists (as a major allophone),,,134,1,,1
589,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",133-2,Exists only as a minor allophone,,,134,2,,1
592,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",134-1,Exists (as a major allophone),,,135,1,,1
593,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",134-2,Exists only as a minor allophone,,,135,2,,1
594,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",134-3,Exists only in loanwords,,,135,3,,1
595,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",134-4,Does not exist,,,135,4,,1
597,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",135-2,Exists only as a minor allophone,,,136,2,,1
601,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",136-2,Exists only as a minor allophone,,,137,2,,1
604,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",137-1,Exists (as a major allophone),,,138,1,,1
605,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",137-2,Exists only as a minor allophone,,,138,2,,1
606,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",137-3,Exists only in loanwords,,,138,3,,1
607,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",137-4,Does not exist,,,138,4,,1
608,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",138-1,Exists (as a major allophone),,,139,1,,1
609,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",138-2,Exists only as a minor allophone,,,139,2,,1
611,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",138-4,Does not exist,,,139,4,,1
612,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",139-1,Exists (as a major allophone),,,140,1,,1
613,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",139-2,Exists only as a minor allophone,,,140,2,,1
614,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",139-3,Exists only in loanwords,,,140,3,,1
616,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",140-1,Exists (as a major allophone),,,141,1,,1
617,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",140-2,Exists only as a minor allophone,,,141,2,,1
618,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",140-3,Exists only in loanwords,,,141,3,,1
619,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",140-4,Does not exist,,,141,4,,1
621,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",141-2,Exists only as a minor allophone,,,142,2,,1
625,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",142-2,Exists only as a minor allophone,,,143,2,,1
628,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",143-1,Exists (as a major allophone),,,144,1,,1
629,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",143-2,Exists only as a minor allophone,,,144,2,,1
630,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",143-3,Exists only in loanwords,,,144,3,,1
631,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",143-4,Does not exist,,,144,4,,1
632,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",144-1,Exists (as a major allophone),,,145,1,,1
633,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",144-2,Exists only as a minor allophone,,,145,2,,1
634,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",144-3,Exists only in loanwords,,,145,3,,1
635,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",144-4,Does not exist,,,145,4,,1
636,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",145-1,Exists (as a major allophone),,,146,1,,1
637,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",145-2,Exists only as a minor allophone,,,146,2,,1
639,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",145-4,Does not exist,,,146,4,,1
640,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",146-1,Exists (as a major allophone),,,147,1,,1
641,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",146-2,Exists only as a minor allophone,,,147,2,,1
643,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",146-4,Does not exist,,,147,4,,1
644,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",147-1,Exists (as a major allophone),,,148,1,,1
645,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",147-2,Exists only as a minor allophone,,,148,2,,1
648,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",148-1,Exists (as a major allophone),,,149,1,,1
649,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",148-2,Exists only as a minor allophone,,,149,2,,1
