pk,jsondata,id,name,description,markup_description,parameter_pk,number,abbr,version
1161,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",276-2,Exists only as a minor allophone,,,277,2,,1
1163,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",276-4,Does not exist,,,277,4,,1
1165,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",277-2,Exists only as a minor allophone,,,278,2,,1
1166,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",277-3,Exists only in loanwords,,,278,3,,1
1167,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",277-4,Does not exist,,,278,4,,1
1168,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",278-1,Exists (as a major allophone),,,279,1,,1
1169,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",278-2,Exists only as a minor allophone,,,279,2,,1
1171,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",278-4,Does not exist,,,279,4,,1
1172,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",279-1,Exists (as a major allophone),,,280,1,,1
1173,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",279-2,Exists only as a minor allophone,,,280,2,,1
1175,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",279-4,Does not exist,,,280,4,,1
1176,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",280-1,Exists (as a major allophone),,,281,1,,1
1177,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",280-2,Exists only as a minor allophone,,,281,2,,1
1179,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",280-4,Does not exist,,,281,4,,1
1180,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",281-1,Exists (as a major allophone),,,282,1,,1
1181,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",281-2,Exists only as a minor allophone,,,282,2,,1
1182,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",281-3,Exists only in loanwords,,,282,3,,1
1183,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",281-4,Does not exist,,,282,4,,1
1184,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",282-1,Exists (as a major allophone),,,283,1,,1
1185,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",282-2,Exists only as a minor allophone,,,283,2,,1
1187,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",282-4,Does not exist,,,283,4,,1
1190,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",283-3,Exists only in loanwords,,,284,3,,1
1193,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",284-2,Exists only as a minor allophone,,,285,2,,1
1195,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",284-4,Does not exist,,,285,4,,1
1196,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",285-1,Exists (as a major allophone),,,286,1,,1
1197,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",285-2,Exists only as a minor allophone,,,286,2,,1
1199,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",285-4,Does not exist,,,286,4,,1
1200,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",286-1,Exists (as a major allophone),,,287,1,,1
1201,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",286-2,Exists only as a minor allophone,,,287,2,,1
1203,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",286-4,Does not exist,,,287,4,,1
1204,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",287-1,Exists (as a major allophone),,,288,1,,1
1205,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",287-2,Exists only as a minor allophone,,,288,2,,1
1206,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",287-3,Exists only in loanwords,,,288,3,,1
1207,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",287-4,Does not exist,,,288,4,,1
1208,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",288-1,Exists (as a major allophone),,,289,1,,1
1209,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",288-2,Exists only as a minor allophone,,,289,2,,1
1211,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",288-4,Does not exist,,,289,4,,1
1212,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",289-1,Exists (as a major allophone),,,290,1,,1
1213,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",289-2,Exists only as a minor allophone,,,290,2,,1
1215,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",289-4,Does not exist,,,290,4,,1
1216,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",290-1,Exists (as a major allophone),,,291,1,,1
1217,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",290-2,Exists only as a minor allophone,,,291,2,,1
1219,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",290-4,Does not exist,,,291,4,,1
1220,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",291-1,Exists (as a major allophone),,,292,1,,1
1221,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",291-2,Exists only as a minor allophone,,,292,2,,1
1223,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",291-4,Does not exist,,,292,4,,1
1224,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",292-1,Exists (as a major allophone),,,293,1,,1
1228,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",293-1,Exists (as a major allophone),,,294,1,,1
1233,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",294-2,Exists only as a minor allophone,,,295,2,,1
1236,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",295-1,Exists (as a major allophone),,,296,1,,1
1240,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",296-1,Exists (as a major allophone),,,297,1,,1
1244,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",297-1,Exists (as a major allophone),,,298,1,,1
1248,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",298-1,Exists (as a major allophone),,,299,1,,1
1254,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",299-3,Exists only in loanwords,,,300,3,,1
1256,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",300-1,Exists (as a major allophone),,,301,1,,1
1260,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",301-1,Exists (as a major allophone),,,302,1,,1
1264,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",302-1,Exists (as a major allophone),,,303,1,,1
1268,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",303-1,Exists (as a major allophone),,,304,1,,1
1271,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",303-4,Does not exist,,,304,4,,1
1272,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",304-1,Exists (as a major allophone),,,305,1,,1
1276,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",305-1,Exists (as a major allophone),,,306,1,,1
1280,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",306-1,Exists (as a major allophone),,,307,1,,1
1284,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",307-1,Exists (as a major allophone),,,308,1,,1
1288,"{""color"": ""0000FF"", ""icon"": ""pie-100-0000FF.png""}",308-1,English,,,309,1,,1
1289,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",308-2,French,,,309,2,,1
1290,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",308-3,Portuguese,,,309,3,,1
1291,"{""color"": ""FF7F00"", ""icon"": ""pie-100-FF7F00.png""}",308-4,Spanish,,,309,4,,1
1292,"{""color"": ""800080"", ""icon"": ""pie-100-800080.png""}",308-5,Arabic,,,309,5,,1
1293,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",308-6,Other,,,309,6,,1
1294,"{""color"": ""ADD8E6"", ""icon"": ""pie-100-ADD8E6.png""}",308-7,Dutch,,,309,7,,1
1295,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",308-8,Malay,,,309,8,,1
1296,"{""color"": ""000000"", ""icon"": ""pie-100-000000.png""}",308-9,Bantu,,,309,9,,1
1297,"{""color"": ""000000"", ""icon"": ""pie-100-000000.png""}",309-1,Virtually all,,,310,1,,1
1298,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",309-2,Most,,,310,2,,1
1299,"{""color"": ""FF7F00"", ""icon"": ""pie-100-FF7F00.png""}",309-3,Many,,,310,3,,1
1300,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",309-4,Some,,,310,4,,1
1301,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",309-5,Virtually none,,,310,5,,1
1302,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",310-1,Widespread,,,311,1,,1
1303,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",310-2,Limited,,,311,2,,1
1304,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",310-3,Absent,,,311,3,,1
1305,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",310-4,Not applicable (because the language is not a pidgin),,,311,4,,1
1306,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",311-1,Quickly,,,312,1,,1
1307,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",311-2,Slowly,,,312,2,,1
1308,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",311-3,Not at all,,,312,3,,1
1309,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",312-1,Widespread,,,313,1,,1
1310,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",312-2,Limited,,,313,2,,1
1311,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",312-3,Absent,,,313,3,,1
1312,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",312-4,Not applicable (because the language is not currently spoken),,,313,4,,1
1313,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",313-1,Less than 100 speakers or extinct,,,314,1,,1
1314,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",313-2,"Less than 1,000 speakers",,,314,2,,1
1315,"{""color"": ""FF7F00"", ""icon"": ""pie-100-FF7F00.png""}",313-3,"Less than 10,000 speakers",,,314,3,,1
1316,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",313-4,"Less than 100,000 speakers",,,314,4,,1
1317,"{""color"": ""964B00"", ""icon"": ""pie-100-964B00.png""}",313-5,"Less than 1,000,000 speakers",,,314,5,,1
1318,"{""color"": ""000000"", ""icon"": ""pie-100-000000.png""}",313-6,"More than 1,000,000 speakers",,,314,6,,1
1319,"{""color"": ""0000FF"", ""icon"": ""pie-100-0000FF.png""}",314-1,(Near-) exclusively,,,315,1,,1
1320,"{""color"": ""ADD8E6"", ""icon"": ""pie-100-ADD8E6.png""}",314-2,Predominantly,,,315,2,,1
1321,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",314-3,Used to the same extent by both genders,,,315,3,,1
1322,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",315-1,Widespread,,,316,1,,1
1323,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",315-2,Limited,,,316,2,,1
1324,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",315-3,Absent,,,316,3,,1
1325,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",315-4,Not applicable (because no radio/TV station exists),,,316,4,,1
1326,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",316-1,Widespread,,,317,1,,1
1327,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",316-2,Limited,,,317,2,,1
1328,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",316-3,Absent,,,317,3,,1
1329,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",316-4,Not applicable (because no radio/TV station exists),,,317,4,,1
1330,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",317-1,Widespread,,,318,1,,1
1331,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",317-2,Limited,,,318,2,,1
1332,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",317-3,Absent,,,318,3,,1
1333,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",318-1,Widespread,,,319,1,,1
1334,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",318-2,Limited,,,319,2,,1
1335,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",318-3,Absent,,,319,3,,1
1336,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",318-4,Not applicable (because there are virtually no printed works),,,319,4,,1
1337,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",319-1,Widespread,,,320,1,,1
1338,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",319-2,Limited,,,320,2,,1
1339,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",319-3,Absent,,,320,3,,1
1340,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",319-4,Not applicable (because no newspapers exist),,,320,4,,1
1341,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",320-1,Widespread,,,321,1,,1
1342,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",320-2,Limited,,,321,2,,1
1343,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",320-3,Absent,,,321,3,,1
1344,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",320-4,Not applicable (because no newspapers exist),,,321,4,,1
1345,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",321-1,Widespread,,,322,1,,1
1346,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",321-2,Limited,,,322,2,,1
1347,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",321-3,Absent,,,322,3,,1
1348,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",321-4,Not applicable (because there are no such offices in the relevant area),,,322,4,,1
1349,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",322-1,Widespread,,,323,1,,1
1350,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",322-2,Limited,,,323,2,,1
1351,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",322-3,Absent,,,323,3,,1
1352,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",322-4,Not applicable (because there is no court in the relevant area),,,323,4,,1
1353,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",323-1,Widespread,,,324,1,,1
1354,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",323-2,Limited,,,324,2,,1
1355,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",323-3,Absent,,,324,3,,1
1356,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",323-4,Not applicable (because no parliament or similar legislative body exists),,,324,4,,1
1357,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",324-1,Widespread,,,325,1,,1
1358,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",324-2,Limited,,,325,2,,1
1359,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",324-3,Absent,,,325,3,,1
1361,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",325-1,Widespread,,,326,1,,1
1362,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",325-2,Limited,,,326,2,,1
1363,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",325-3,Absent,,,326,3,,1
1364,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",325-4,Not applicable (because there is no access to electronic media in the area),,,326,4,,1
1365,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",326-1,The main lexifier language,,,327,1,,1
1366,"{""color"": ""0000FF"", ""icon"": ""pie-100-0000FF.png""}",326-2,A major world language that is not the main lexifier,,,327,2,,1
1367,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",326-3,A neighbouring language that is neither the main lexifier nor a major world language,,,327,3,,1
1368,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",326-4,Several different kinds of languages are equally important in terms of contact influence,,,327,4,,1
1369,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",327-1,Widespread,,,328,1,,1
1370,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",327-2,Limited,,,328,2,,1
1371,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",327-3,Absent,,,328,3,,1
1372,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",327-4,Not applicable (because the language is spoken in a very small area),,,328,4,,1
1373,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",328-1,Widespread,,,329,1,,1
1374,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",328-2,Limited,,,329,2,,1
1375,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",328-3,Absent,,,329,3,,1
1376,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",328-4,Not applicable (because the language is spoken in a very small area),,,329,4,,1
1377,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",329-1,Widespread,,,330,1,,1
1378,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",329-2,Limited,,,330,2,,1
1379,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",329-3,Absent,,,330,3,,1
1380,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",329-4,Not applicable (because the language is spoken in a very small area),,,330,4,,1
1381,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",330-1,Widespread,,,331,1,,1
1382,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",330-2,Limited,,,331,2,,1
1383,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",330-3,Absent,,,331,3,,1
1384,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",330-4,Not applicable (because the language is only spoken in urban or only in rural areas),,,331,4,,1
1385,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",331-1,Widespread,,,332,1,,1
1386,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",331-2,Limited,,,332,2,,1
1387,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",331-3,Absent,,,332,3,,1
1388,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",331-4,Not applicable (because the language is only spoken in urban or only in rural areas),,,332,4,,1
1389,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",332-1,Widespread,,,333,1,,1
1390,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",332-2,Limited,,,333,2,,1
1391,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",332-3,Absent,,,333,3,,1
1392,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",332-4,Not applicable (because the language is only spoken in urban or only in rural areas),,,333,4,,1
1393,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",333-1,Widespread,,,334,1,,1
1394,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",333-2,Limited,,,334,2,,1
1395,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",333-3,Absent,,,334,3,,1
1396,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",333-4,Not applicable (because there is little social stratification),,,334,4,,1
1397,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",334-1,Widespread,,,335,1,,1
1398,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",334-2,Limited,,,335,2,,1
1399,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",334-3,Absent,,,335,3,,1
1400,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",334-4,Not applicable (because there is little social stratification),,,335,4,,1
1401,"{""color"": ""FF0000"", ""icon"": ""pie-100-FF0000.png""}",335-1,Widespread,,,336,1,,1
1402,"{""color"": ""FFFF00"", ""icon"": ""pie-100-FFFF00.png""}",335-2,Limited,,,336,2,,1
1403,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",335-3,Absent,,,336,3,,1
1404,"{""color"": ""808080"", ""icon"": ""pie-100-808080.png""}",335-4,Not applicable (because there is little social stratification),,,336,4,,1
583,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",131-4,Does not exist,,,132,4,,1
590,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",133-3,Exists only in loanwords,,,134,3,,1
591,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",133-4,Does not exist,,,134,4,,1
596,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",135-1,Exists (as a major allophone),,,136,1,,1
598,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",135-3,Exists only in loanwords,,,136,3,,1
599,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",135-4,Does not exist,,,136,4,,1
600,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",136-1,Exists (as a major allophone),,,137,1,,1
602,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",136-3,Exists only in loanwords,,,137,3,,1
603,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",136-4,Does not exist,,,137,4,,1
610,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",138-3,Exists only in loanwords,,,139,3,,1
620,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",141-1,Exists (as a major allophone),,,142,1,,1
622,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",141-3,Exists only in loanwords,,,142,3,,1
623,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",141-4,Does not exist,,,142,4,,1
624,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",142-1,Exists (as a major allophone),,,143,1,,1
626,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",142-3,Exists only in loanwords,,,143,3,,1
627,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",142-4,Does not exist,,,143,4,,1
638,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",145-3,Exists only in loanwords,,,146,3,,1
642,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",146-3,Exists only in loanwords,,,147,3,,1
646,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",147-3,Exists only in loanwords,,,148,3,,1
647,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",147-4,Does not exist,,,148,4,,1
650,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",148-3,Exists only in loanwords,,,149,3,,1
654,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",149-3,Exists only in loanwords,,,150,3,,1
657,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",150-2,Exists only as a minor allophone,,,151,2,,1
658,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",150-3,Exists only in loanwords,,,151,3,,1
659,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",150-4,Does not exist,,,151,4,,1
673,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",154-2,Exists only as a minor allophone,,,155,2,,1
674,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",154-3,Exists only in loanwords,,,155,3,,1
675,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",154-4,Does not exist,,,155,4,,1
685,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",157-2,Exists only as a minor allophone,,,158,2,,1
686,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",157-3,Exists only in loanwords,,,158,3,,1
687,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",157-4,Does not exist,,,158,4,,1
693,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",159-2,Exists only as a minor allophone,,,160,2,,1
698,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",160-3,Exists only in loanwords,,,161,3,,1
700,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",161-1,Exists (as a major allophone),,,162,1,,1
704,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",162-1,Exists (as a major allophone),,,163,1,,1
705,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",162-2,Exists only as a minor allophone,,,163,2,,1
707,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",162-4,Does not exist,,,163,4,,1
712,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",164-1,Exists (as a major allophone),,,165,1,,1
714,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",164-3,Exists only in loanwords,,,165,3,,1
715,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",164-4,Does not exist,,,165,4,,1
716,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",165-1,Exists (as a major allophone),,,166,1,,1
717,"{""color"": ""FFB6C1"", ""icon"": ""pie-100-FFB6C1.png""}",165-2,Exists only as a minor allophone,,,166,2,,1
719,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",165-4,Does not exist,,,166,4,,1
720,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",166-1,Exists (as a major allophone),,,167,1,,1
722,"{""color"": ""F7F713"", ""icon"": ""pie-100-F7F713.png""}",166-3,Exists only in loanwords,,,167,3,,1
723,"{""color"": ""FFFFFF"", ""icon"": ""pie-100-FFFFFF.png""}",166-4,Does not exist,,,167,4,,1
724,"{""color"": ""FC3535"", ""icon"": ""pie-100-FC3535.png""}",167-1,Exists (as a major allophone),,,168,1,,1
